-1.0	-19.4887485853892	4503.61086629232	5374.95475200543	-0.112334237429401
-0.8	-24.1032017861725	4431.97605895222	5457.23773263017	-0.0900362308998387
-0.6	-31.4732598327657	-4258.71375624075	5635.3223312096	3.07198993377266
-0.4	-44.6836456963894	-3847.86011111567	6040.89168022167	3.08234651034009
-0.2	-72.1911759851759	-2496.79024462876	7405.4289510101	3.11310704678755
+0.2	72.0073961438748	-2506.18123547461	7397.55205081512	3.10911705571262
+0.4	44.8662697593513	-3846.18468856309	6056.66500829033	3.0986010563118
+0.6	31.4882444554238	-4277.85094769876	5625.04883680423	3.07059034465764
+0.8	24.111264088863	-4437.52939869633	5455.86191141152	3.04924381079421
+1.0	19.4834842878043	-4503.71886473569	5378.61016135966	3.02249943079308
