1e-10	9896
0.4040404041393939	9900
0.8080808081787878	9896
1.2121212122181817	9888
1.6161616162575756	9822
2.0202020202969697	9799
2.4242424243363634	9736
2.828282828375757	9637
3.232323232415151	9595
3.6363636364545453	9508
4.040404040493939	9411
4.444444444533333	9233
4.848484848572727	9180
5.252525252612121	9003
5.656565656651514	8830
6.060606060690908	8745
6.464646464730302	8520
6.8686868687696965	8371
7.272727272809091	8236
7.676767676848484	8023
8.080808080887879	7873
8.484848484927271	7787
8.888888888966665	7485
9.29292929300606	7330
9.696969697045454	7122
10.101010101084848	6770
10.505050505124242	6608
10.909090909163636	6491
11.313131313203028	6127
11.717171717242422	5938
12.121212121281816	5692
12.52525252532121	5569
12.929292929360605	5287
13.333333333399999	5085
13.737373737439393	4921
14.141414141478787	4696
14.545454545518181	4412
14.949494949557574	4440
15.353535353596968	4115
15.757575757636362	3853
16.161616161675756	3716
16.565656565715148	3548
16.96969696975454	3504
17.373737373793936	3319
17.77777777783333	3143
18.181818181872725	3038
18.585858585912117	2856
18.989898989951513	2706
19.393939393990905	2549
19.797979798030298	2462
20.202020202069694	2438
20.606060606109086	2487
21.01010101014848	2218
21.414141414187874	2220
21.81818181822727	2214
22.222222222266662	2140
22.626262626306055	2167
23.03030303034545	2209
23.434343434384843	2197
23.83838383842424	2240
24.24242424246363	2303
24.646464646503027	2348
25.05050505054242	2368
25.454545454581815	2474
25.858585858621208	2465
26.2626262626606	2705
26.666666666699996	2804
27.070707070739388	2841
27.474747474778784	2986
27.878787878818176	3098
28.282828282857572	3303
28.686868686896965	3477
29.09090909093636	3683
29.494949494975753	3782
29.898989899015145	3929
30.30303030305454	4225
30.707070707093933	4395
31.11111111113333	4581
31.51515151517272	4758
31.919191919212118	4960
32.32323232325152	5144
32.72727272729091	5401
33.1313131313303	5594
33.535353535369694	5833
33.939393939409086	5989
34.343434343448486	6276
34.74747474748788	6395
35.15151515152727	6678
35.55555555556666	6895
35.959595959606055	7151
36.363636363645455	7319
36.76767676768485	7523
37.17171717172424	7714
37.57575757576363	7948
37.97979797980303	8169
38.38383838384242	8358
38.787878787881816	8464
39.19191919192121	8660
39.5959595959606	8784
40.0	8951
